SvSystem,UTC,Toe,ObsToc,x,y,z,SvClockOffset,RelativisticError,Health
E3,1691625599.9129009247,1691625600.0000000000,1691625600.0000000000,5199618.3707361445,-17330176.1626618579,23425427.3038375117,-0.0000444118,-0.0000000007,0
E3,1691625629.9129490852,1691625600.0000000000,1691625630.0000000000,5269284.2563059758,-17340679.1802465469,23402118.0547375232,-0.0000444119,-0.0000000007,0
E3,1691625659.9129967690,1691625600.0000000000,1691625660.0000000000,5338856.1997105600,-17351329.9431964979,23378485.0713819601,-0.0000444120,-0.0000000007,0
E3,1691625689.9130444527,1691625600.0000000000,1691625690.0000000000,5408332.9276377782,-17362127.9422263838,23354528.6812548004,-0.0000444121,-0.0000000007,0
E3,1691625719.9130918980,1691625600.0000000000,1691625720.0000000000,5477713.1682270952,-17373072.6608964205,23330249.2168727517,-0.0000444123,-0.0000000007,0
E3,1691625749.9131388664,1691625600.0000000000,1691625750.0000000000,5546995.6527730711,-17384163.5758794658,23305647.0152287483,-0.0000444124,-0.0000000007,0
E3,1691625779.9131858349,1691625600.0000000000,1691625780.0000000000,5616179.1174157057,-17395400.1572492495,23280722.4171891026,-0.0000444125,-0.0000000007,0
E3,1691625809.9132323265,1691625600.0000000000,1691625810.0000000000,5685262.2993292753,-17406781.8678793684,23255475.7688638233,-0.0000444126,-0.0000000007,0
E3,1691625839.9132785797,1691625600.0000000000,1691625840.0000000000,5754243.9406142309,-17418308.1640847065,23229907.4202215709,-0.0000444127,-0.0000000007,0
E3,1691625869.9133248329,1691625600.0000000000,1691625870.0000000000,5823122.7866856530,-17429978.4953778870,23204017.7256675512,-0.0000444128,-0.0000000007,0
E3,1691625899.9133706093,1691625600.0000000000,1691625900.0000000000,5891897.5846755002,-17441792.3042055704,23177807.0446673259,-0.0000444129,-0.0000000007,0
E3,1691625929.9134161472,1691625600.0000000000,1691625930.0000000000,5960567.0867578555,-17453749.0265248045,23151275.7405072860,-0.0000444130,-0.0000000007,0
E3,1691625959.9134614468,1691625600.0000000000,1691625960.0000000000,6029130.0479997043,-17465848.0914531238,23124424.1811100394,-0.0000444132,-0.0000000007,0
E3,1691625989.9135062695,1691625600.0000000000,1691625990.0000000000,6097585.2264054026,-17478088.9212833643,23097252.7390420176,-0.0000444133,-0.0000000007,0
E3,1691626019.9135510921,1691625600.0000000000,1691626020.0000000000,6165931.3851330094,-17490470.9318942875,23069761.7906419784,-0.0000444134,-0.0000000007,0
E3,1691626049.9135956764,1691625600.0000000000,1691626050.0000000000,6234167.2892701048,-17502993.5321878754,23041951.7173114084,-0.0000444135,-0.0000000007,0
E3,1691626079.9136397839,1691625600.0000000000,1691626080.0000000000,6302291.7075105514,-17515656.1243969612,23013822.9048727863,-0.0000444136,-0.0000000007,0
E3,1691626109.9136838913,1691625600.0000000000,1691626110.0000000000,6370303.4138146769,-17528458.1044136286,22985375.7428821810,-0.0000444137,-0.0000000007,0
E3,1691626139.9137275219,1691625600.0000000000,1691626140.0000000000,6438201.1836619359,-17541398.8611033857,22956610.6261949502,-0.0000444138,-0.0000000007,0
E3,1691626169.9137709141,1691625600.0000000000,1691626170.0000000000,6505983.7978765797,-17554477.7770363726,22927527.9533840530,-0.0000444139,-0.0000000007,0
E3,1691626199.9138140678,1691625600.0000000000,1691626200.0000000000,6573650.0405048188,-17567694.2281033844,22898128.1276362427,-0.0000444140,-0.0000000007,0
E3,1691626229.9138569832,1691626800.0000000000,1691626230.0000000000,6641198.6434667921,-17581047.6323194504,22868411.5274774656,-0.0000444143,-0.0000000007,0
E3,1691626259.9138996601,1691626800.0000000000,1691626260.0000000000,6708628.5091777183,-17594537.2546677515,22838378.6224570014,-0.0000444144,-0.0000000007,0
E3,1691626289.9139418602,1691626800.0000000000,1691626290.0000000000,6775938.3779104147,-17608162.5004713684,22808029.8006188497,-0.0000444145,-0.0000000007,0
E3,1691626319.9139840603,1691626800.0000000000,1691626320.0000000000,6843127.0502273319,-17621922.7197498009,22777365.4821658321,-0.0000444146,-0.0000000007,0
E3,1691626349.9140257835,1691626800.0000000000,1691626350.0000000000,6910193.3285127934,-17635817.2556226030,22746386.0926308818,-0.0000444147,-0.0000000007,0
E3,1691626379.9140672684,1691626800.0000000000,1691626380.0000000000,6977136.0207524411,-17649845.4450954646,22715092.0611715168,-0.0000444148,-0.0000000007,0
E3,1691626409.9131085873,1691626800.0000000000,1691626410.0000000000,7043951.7134285280,-17664006.1444344409,22683484.8802976906,-0.0000444149,-0.0000000007,0
E3,1691626439.9131495953,1691626800.0000000000,1691626440.0000000000,7110643.6763384212,-17678299.6217518412,22651562.8810279667,-0.0000444151,-0.0000000007,0
E3,1691626469.9131903648,1691626800.0000000000,1691626470.0000000000,7177208.4999771919,-17692724.7249712870,22619327.5540853329,-0.0000444152,-0.0000000007,0
E3,1691626499.9132308960,1691626800.0000000000,1691626500.0000000000,7243645.0081790499,-17707280.7654623836,22586779.3462269083,-0.0000444153,-0.0000000007,0
E3,1691626529.9132711887,1691626800.0000000000,1691626530.0000000000,7309952.0289701363,-17721967.0482735448,22553918.7085337564,-0.0000444154,-0.0000000007,0
E3,1691626559.9133110046,1691626800.0000000000,1691626560.0000000000,7376128.3940812703,-17736782.8720384836,22520746.0966695137,-0.0000444155,-0.0000000007,0
E3,1691626589.9133505821,1691626800.0000000000,1691626590.0000000000,7442172.9405643214,-17751727.5293538086,22487261.9700843170,-0.0000444156,-0.0000000007,0
E3,1691626619.9133901596,1691626800.0000000000,1691626620.0000000000,7508084.5097729117,-17766800.3065739162,22453466.7925233729,-0.0000444157,-0.0000000007,0
E3,1691626649.9134292603,1691626800.0000000000,1691626650.0000000000,7573861.9458337221,-17782000.4834722281,22419361.0328373276,-0.0000444158,-0.0000000007,0
E3,1691626679.9134681225,1691626800.0000000000,1691626680.0000000000,7639504.0988263506,-17797327.3339858130,22384945.1633643247,-0.0000444160,-0.0000000007,0
E3,1691626709.9135065079,1691626800.0000000000,1691626710.0000000000,7705009.8222049866,-17812780.1256395094,22350219.6612724587,-0.0000444161,-0.0000000007,0
E3,1691626739.9135448933,1691626800.0000000000,1691626740.0000000000,7770377.9754409995,-17828358.1201835833,22315185.0071794502,-0.0000444162,-0.0000000007,0
E3,1691626769.9135828018,1691626800.0000000000,1691626770.0000000000,7835607.4204187095,-17844060.5727578849,22279841.6870839074,-0.0000444163,-0.0000000007,0
E3,1691626799.9136207104,1691626800.0000000000,1691626800.0000000000,7900697.0256283293,-17859886.7329086512,22244190.1901311651,-0.0000444164,-0.0000000007,0
E3,1691626829.9136581421,1691626800.0000000000,1691626830.0000000000,7965645.6620555623,-17875835.8436169811,22208231.0108535290,-0.0000444165,-0.0000000007,0
E3,1691626859.9136953354,1691626800.0000000000,1691626860.0000000000,8030452.2068421561,-17891907.1422036067,22171964.6471862011,-0.0000444166,-0.0000000007,0
E3,1691626889.9137322903,1691626800.0000000000,1691626890.0000000000,8095115.5412518224,-17908099.8598540574,22135391.6015912332,-0.0000444167,-0.0000000007,0
E3,1691626919.9137687683,1691626800.0000000000,1691626920.0000000000,8159634.5507126283,-17924413.2216409780,22098512.3810627796,-0.0000444169,-0.0000000007,0
E3,1691626949.9138052464,1691626800.0000000000,1691626950.0000000000,8224008.1269028503,-17940846.4470713139,22061327.4959452040,-0.0000444170,-0.0000000007,0
E3,1691626979.9138412476,1691626800.0000000000,1691626980.0000000000,8288235.1642003329,-17957398.7492042556,22023837.4619837515,-0.0000444171,-0.0000000007,0
E3,1691627009.9138770103,1691626800.0000000000,1691627010.0000000000,8352314.5633028420,-17974069.3355908617,21986042.7982547730,-0.0000444172,-0.0000000007,0
E3,1691627039.9139125347,1691626800.0000000000,1691627040.0000000000,8416245.2292159740,-17990857.4077808671,21947944.0283382051,-0.0000444173,-0.0000000007,0
