SvSystem,UTC,Code_1,Code_2,Code_5,Phase_1,Phase_2,Phase_5,Snr_1,Snr_2,Snr_5
E3,1691625600.0000000000,26124951.2549999990,0,26124953.8649999984,137287593.2050000131,0,102519953.6689999998,0,0,0
E3,1691625630.0000000000,26110524.0700000003,0,26110526.9930000007,137211778.6259999871,0,102463338.9070000052,0,0,0
E3,1691625660.0000000000,26096174.1090000011,0,26096176.8280000016,137136368.3750000000,0,102407026.0779999942,0,0,0
E3,1691625690.0000000000,26081900.8429999985,0,26081903.3429999985,137061360.7939999998,0,102351013.9379999936,0,0,0
E3,1691625720.0000000000,26067705.0650000013,0,26067707.4869999997,136986761.6980000138,0,102295306.8359999955,0,0,0
E3,1691625750.0000000000,26053586.5850000009,0,26053588.5020000003,136912566.9769999981,0,102239901.6990000010,0,0,0
E3,1691625780.0000000000,26039544.1820000000,0,26039546.5460000001,136838775.5760000050,0,102184797.7510000020,0,0,0
E3,1691625810.0000000000,26025579.8350000009,0,26025582.0489999987,136765391.7060000002,0,102129998.1149999946,0,0,0
E3,1691625840.0000000000,26011692.7089999989,0,26011695.3249999993,136692416.1060000062,0,102075503.3630000055,0,0,0
E3,1691625870.0000000000,25997884.2829999998,0,25997886.7179999985,136619850.6710000038,0,102021314.9089999944,0,0,0
E3,1691625900.0000000000,25984152.9670000002,0,25984155.5049999990,136547694.0850000083,0,101967431.7479999959,0,0,0
E3,1691625930.0000000000,25970499.0639999993,0,25970501.3090000004,136475940.9199999869,0,101913849.8379999995,0,0,0
E3,1691625960.0000000000,25956923.3020000011,0,25956925.9970000014,136404602.2790000141,0,101860577.4950000048,0,0,0
E3,1691625990.0000000000,25943427.7320000008,0,25943430.4149999991,136333681.5090000033,0,101807617.1780000031,0,0,0
E3,1691626020.0000000000,25930011.6380000003,0,25930014.2369999997,136263179.7910000086,0,101754969.7870000005,0,0,0
E3,1691626050.0000000000,25916676.1790000014,0,25916678.7820000015,136193100.9099999964,0,101702638.1589999944,0,0,0
E3,1691626080.0000000000,25903420.2309999987,0,25903422.7129999995,136123440.4370000064,0,101650618.9870000035,0,0,0
E3,1691626110.0000000000,25890243.7879999988,0,25890246.2710000016,136054197.2439999878,0,101598911.4060000032,0,0,0
E3,1691626140.0000000000,25877147.0769999996,0,25877149.5579999983,135985373.8289999962,0,101547517.3069999963,0,0,0
E3,1691626170.0000000000,25864130.0190000013,0,25864132.3330000006,135916968.3849999905,0,101496435.3219999969,0,0,0
E3,1691626200.0000000000,25851192.1369999982,0,25851194.6689999998,135848980.6450000107,0,101445665.2450000048,0,0,0
E3,1691626230.0000000000,25838335.1510000005,0,25838337.3200000003,135781414.7750000060,0,101395210.2080000043,0,0,0
E3,1691626260.0000000000,25825558.5610000007,0,25825560.9890000001,135714274.0979999900,0,101345072.6990000010,0,0,0
E3,1691626290.0000000000,25812862.6070000008,0,25812864.9510000013,135647556.1139999926,0,101295250.8209999949,0,0,0
E3,1691626320.0000000000,25800246.9079999998,0,25800249.2710000016,135581259.7500000000,0,101245743.8079999983,0,0,0
E3,1691626350.0000000000,25787710.4519999996,0,25787713.0879999995,135515382.1209999919,0,101196549.4800000042,0,0,0
E3,1691626380.0000000000,25775253.6889999993,0,25775256.1939999983,135449920.9390000105,0,101147666.1369999945,0,0,0
E3,1691626410.0000000000,26062669.3390000015,0,26062671.5670000017,136960299.4420000017,0,102275546.1850000024,0,0,0
E3,1691626440.0000000000,26050373.5570000000,0,26050375.6290000007,136895683.7190000117,0,102227294.1930000037,0,0,0
E3,1691626470.0000000000,26038159.0899999999,0,26038161.4320000000,136831497.2529999912,0,102179362.7520000041,0,0,0
E3,1691626500.0000000000,26026025.4349999987,0,26026027.9420000017,136767734.9149999917,0,102131748.0339999944,0,0,0
E3,1691626530.0000000000,26013972.2710000016,0,26013974.4100000001,136704394.0500000119,0,102084448.0400000066,0,0,0
E3,1691626560.0000000000,26002000.2589999996,0,26002002.8099999987,136641481.4909999967,0,102037467.8920000046,0,0,0
E3,1691626590.0000000000,25990109.7670000009,0,25990111.9479999989,136578995.0609999895,0,101990805.9549999982,0,0,0
E3,1691626620.0000000000,25978300.8009999990,0,25978303.0969999991,136516939.7389999926,0,101944465.9469999969,0,0,0
E3,1691626650.0000000000,25966574.4360000007,0,25966577.2159999982,136455319.2829999924,0,101898450.7010000050,0,0,0
E3,1691626680.0000000000,25954929.9239999987,0,25954932.5170000009,136394126.1189999878,0,101852754.5129999965,0,0,0
E3,1691626710.0000000000,25943367.5359999985,0,25943370.4380000010,136333367.1599999964,0,101807382.5750000030,0,0,0
E3,1691626740.0000000000,25931887.1189999990,0,25931889.6869999990,136273035.2639999986,0,101762329.5509999990,0,0,0
E3,1691626770.0000000000,25920489.0509999990,0,25920491.4439999983,136213138.2680000067,0,101717601.2859999985,0,0,0
E3,1691626800.0000000000,25909173.5190000013,0,25909175.7549999990,136153672.5419999957,0,101673195.0760000050,0,0,0
E3,1691626830.0000000000,25897939.8189999983,0,25897942.3099999987,136094641.2240000069,0,101629113.2660000026,0,0,0
E3,1691626860.0000000000,25886789.8770000003,0,25886792.4090000018,136036047.6329999864,0,101585358.3240000010,0,0,0
E3,1691626890.0000000000,25875723.0610000007,0,25875725.4820000008,135977890.7930000126,0,101541929.5349999964,0,0,0
E3,1691626920.0000000000,25864739.0960000008,0,25864741.7419999987,135920171.0410000086,0,101498827.1430000067,0,0,0
E3,1691626950.0000000000,25853837.9290000014,0,25853840.6889999993,135862886.0320000052,0,101456049.3860000074,0,0,0
E3,1691626980.0000000000,25843020.7500000000,0,25843023.5590000004,135806041.6540000141,0,101413600.6809999943,0,0,0
E3,1691627010.0000000000,25832287.3579999991,0,25832289.8200000003,135749634.9169999957,0,101371478.7810000032,0,0,0
E3,1691627040.0000000000,25821636.5769999996,0,25821639.1680000015,135693665.6800000072,0,101329683.5890000015,0,0,0
E3,1691627070.0000000000,25811068.0419999994,0,25811070.7199999988,135638127.7459999919,0,101288210.4609999955,0,0,0
E3,1691627100.0000000000,25800583.9329999983,0,25800586.7019999996,135583033.6730000079,0,101247068.8009999990,0,0,0
E3,1691627130.0000000000,25790184.3429999985,0,25790187.1259999983,135528383.7989999950,0,101206258.8379999995,0,0,0
E3,1691627160.0000000000,25779868.4230000004,0,25779870.7340000011,135474171.7010000050,0,101165775.7989999950,0,0,0
E3,1691627190.0000000000,25769636.7470000014,0,25769639.4329999983,135420405.1360000074,0,101125625.4619999975,0,0,0
E3,1691627220.0000000000,25759488.7500000000,0,25759491.6270000003,135367079.0259999931,0,101085804.0240000039,0,0,0
E3,1691627250.0000000000,25749423.9400000013,0,25749426.5379999988,135314185.8230000138,0,101046305.8630000055,0,0,0
E3,1691627280.0000000000,25739442.5659999996,0,25739444.8630000018,135261731.4539999962,0,101007135.4130000025,0,0,0
E3,1691627310.0000000000,25729544.5729999989,0,25729546.8209999986,135209717.4650000036,0,100968293.8079999983,0,0,0
E3,1691627340.0000000000,25719729.6050000004,0,25719732.0100000016,135158140.4639999866,0,100929778.5199999958,0,0,0
E3,1691627370.0000000000,25709997.6970000006,0,25710000.2549999990,135106999.7069999874,0,100891589.0100000054,0,0,0
E3,1691627400.0000000000,25700350.0810000002,0,25700352.6259999983,135056300.6480000019,0,100853729.3410000056,0,0,0
E3,1691627430.0000000000,25690785.8460000008,0,25690788.2309999987,135006040.4090000093,0,100816197.3470000029,0,0,0
E3,1691627460.0000000000,25681305.7010000013,0,25681307.7630000003,134956220.3330000043,0,100778994.0649999976,0,0,0
E3,1691627490.0000000000,25671909.4589999989,0,25671911.9100000001,134906844.4339999855,0,100742122.4669999927,0,0,0
E3,1691627520.0000000000,25662598.5709999986,0,25662600.8599999994,134857914.5970000029,0,100705583.9640000015,0,0,0
E3,1691627550.0000000000,25953164.4549999982,0,25953167.1799999997,136384850.5780000091,0,101845828.3760000020,0,0,0
E3,1691627580.0000000000,25944023.7500000000,0,25944026.1939999983,136336814.9810000062,0,101809957.6599999964,0,0,0
E3,1691627610.0000000000,25934967.7699999996,0,25934970.2410000004,136289225.0629999936,0,101774419.7329999954,0,0,0
E3,1691627640.0000000000,25925995.8689999990,0,25925998.6770000011,136242079.0970000029,0,101739213.3470000029,0,0,0
E3,1691627670.0000000000,25917110.1180000007,0,25917112.5680000000,136195382.6430000067,0,101704342.6360000074,0,0,0
E3,1691627700.0000000000,25908309.2580000013,0,25908311.7969999984,136149134.3059999943,0,101669806.5470000058,0,0,0
E3,1691627730.0000000000,25899593.1229999997,0,25899595.6770000011,136103331.0800000131,0,101635602.8490000069,0,0,0
E3,1691627760.0000000000,25890961.9640000015,0,25890964.6290000007,136057974.5579999983,0,101601732.7349999994,0,0,0
E3,1691627790.0000000000,25882415.4809999987,0,25882417.6759999990,136013060.4339999855,0,101568192.9889999926,0,0,0
E3,1691627820.0000000000,25873953.8130000010,0,25873956.1319999993,135968594.4779999852,0,101534987.9009999931,0,0,0
E3,1691627850.0000000000,25865576.5830000006,0,25865578.8409999982,135924571.7669999897,0,101502113.8149999976,0,0,0
E3,1691627880.0000000000,25857283.4439999983,0,25857286.0049999990,135880992.8160000145,0,101469571.1009999961,0,0,0
E3,1691627910.0000000000,25849075.0789999999,0,25849077.5359999985,135837857.0559999943,0,101437359.3449999988,0,0,0
E3,1691627940.0000000000,25840950.7080000006,0,25840953.1550000012,135795163.5769999921,0,101405477.8569999933,0,0,0
E3,1691627970.0000000000,25832911.7289999984,0,25832913.9959999993,135752916.7260000110,0,101373929.8969999999,0,0,0
E3,1691628000.0000000000,25824955.6900000013,0,25824958.1490000002,135711108.9690000117,0,101342709.8260000050,0,0,0
E3,1691628030.0000000000,25817085.0689999983,0,25817086.9849999994,135669745.7439999878,0,101311821.7129999995,0,0,0
E3,1691628060.0000000000,25809297.8689999990,0,25809299.9820000008,135628824.7870000005,0,101281263.8560000062,0,0,0
E3,1691628090.0000000000,25801594.9939999990,0,25801597.6799999997,135588348.5509999990,0,101251038.1009999961,0,0,0
E3,1691628120.0000000000,25793976.7609999999,0,25793979.2450000010,135548313.7209999859,0,101221141.9609999955,0,0,0
E3,1691628150.0000000000,25786442.7060000002,0,25786444.9100000001,135508720.2610000074,0,101191575.4210000038,0,0,0
E3,1691628180.0000000000,25778991.3700000010,0,25778993.8640000001,135469565.0810000002,0,101162336.1509999931,0,0,0
E3,1691628210.0000000000,25771626.3350000009,0,25771628.7320000008,135430860.4609999955,0,101133433.3470000029,0,0,0
E3,1691628240.0000000000,25764345.7289999984,0,25764348.3969999999,135392602.0719999969,0,101104863.7670000046,0,0,0
E3,1691628270.0000000000,25757149.8940000013,0,25757152.5450000018,135354787.4740000069,0,101076625.5830000043,0,0,0
E3,1691628300.0000000000,25750038.1829999983,0,25750040.8920000009,135317415.7739999890,0,101048718.1410000026,0,0,0
E3,1691628330.0000000000,25743011.8500000015,0,25743013.9899999984,135280489.3479999900,0,101021143.1979999989,0,0,0
E3,1691628360.0000000000,25736067.8819999993,0,25736070.4919999987,135244000.7240000069,0,100993895.1889999956,0,0,0
E3,1691628390.0000000000,25729208.2399999984,0,25729210.5670000017,135207951.1540000141,0,100966975.0429999977,0,0,0
E3,1691628420.0000000000,25722432.1449999996,0,25722434.7309999987,135172344.3810000122,0,100940385.5639999956,0,0,0
E3,1691628450.0000000000,25715740.6750000007,0,25715743.0850000009,135137178.9720000029,0,100914125.6749999970,0,0,0
E3,1691628480.0000000000,25709132.7769999988,0,25709135.2270000018,135102454.3680000007,0,100888194.9459999949,0,0,0
E3,1691628510.0000000000,25702609.0630000010,0,25702611.6669999994,135068173.0670000017,0,100862595.2610000074,0,0,0
E3,1691628540.0000000000,25696170.5249999985,0,25696172.7459999993,135034336.1870000064,0,100837327.4510000050,0,0,0
E3,1691628570.0000000000,25689814.3229999989,0,25689816.7899999991,135000935.3950000107,0,100812385.2789999992,0,0,0
E3,1691628600.0000000000,25683541.8709999993,0,25683544.6990000010,134967974.8249999881,0,100787771.8540000021,0,0,0
E3,1691628630.0000000000,25677354.5740000010,0,25677357.0060000010,134935458.7890000045,0,100763490.3910000026,0,0,0
E3,1691628660.0000000000,25671251.0210000016,0,25671253.7360000014,134903385.4020000100,0,100739539.4640000015,0,0,0
E3,1691628690.0000000000,25965023.9210000001,0,25965026.4560000002,136447171.9550000131,0,101892367.0789999962,0,0,0
E3,1691628720.0000000000,25959087.5509999990,0,25959090.0850000009,136415975.0300000012,0,101869070.6509999931,0,0,0
E3,1691628750.0000000000,25953234.7719999999,0,25953237.1039999984,136385218.5489999950,0,101846103.1350000054,0,0,0
E3,1691628780.0000000000,25947466.0130000003,0,25947468.6790000014,136354904.6139999926,0,101823466.1009999961,0,0,0
E3,1691628810.0000000000,25941780.7170000002,0,25941783.1200000010,136325026.9149999917,0,101801154.8139999956,0,0,0
E3,1691628840.0000000000,25936179.1270000003,0,25936181.5529999994,136295590.6730000079,0,101779173.2029999942,0,0,0
E3,1691628870.0000000000,25930660.2309999987,0,25930662.7450000010,136266589.2829999924,0,101757516.3129999936,0,0,0
E3,1691628900.0000000000,25925223.8509999998,0,25925226.5430000015,136238021.0469999909,0,101736182.8700000048,0,0,0
E3,1691628930.0000000000,25919871.3330000006,0,25919873.5890000015,136209891.8000000119,0,101715177.2510000020,0,0,0
E3,1691628960.0000000000,25914601.5329999998,0,25914604.0069999993,136182199.5789999962,0,101694497.9790000021,0,0,0
